| 交易所 |       品种       |      合约      |开仓日期 |   投/保    |买/卖|持仓量 |    开仓价     |     昨结算     |     结算价     |  浮动盈亏  |  盯市盈亏 |  保证金   |       期权市值       |
|Exchange|     Product      |   Instrument   |Open Date|    S/H     | B/S |Positon|Pos. Open Price|   Prev. Sttl   |Settlement Price| Accum. P/L |  MTM P/L  |  Margin   | Market Value(Options)|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      3|        512.200|         473.400|         475.400|  -110400.00|    6000.00|  142620.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        512.200|         473.400|         475.400|   -36800.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      5|        512.100|         473.400|         475.400|  -183500.00|   10000.00|  237700.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        512.100|         473.400|         475.400|   -36700.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        512.100|         473.400|         475.400|   -36700.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        512.100|         473.400|         475.400|   -36700.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        512.100|         473.400|         475.400|   -36700.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        512.100|         473.400|         475.400|   -36700.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      5|        512.500|         473.400|         475.400|  -185500.00|   10000.00|  237700.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      5|        512.600|         473.400|         475.400|  -186000.00|   10000.00|  237700.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      4|        512.600|         473.400|         475.400|  -148800.00|    8000.00|  190160.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        512.600|         473.400|         475.400|   -37200.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      5|        512.300|         473.400|         475.400|  -184500.00|   10000.00|  237700.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        512.200|         473.400|         475.400|   -36800.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        512.200|         473.400|         475.400|   -73600.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        512.200|         473.400|         475.400|   -73600.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      5|        512.300|         473.400|         475.400|  -184500.00|   10000.00|  237700.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      4|        510.900|         473.400|         475.400|  -142000.00|    8000.00|  190160.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        510.900|         473.400|         475.400|   -35500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      5|        511.100|         473.400|         475.400|  -178500.00|   10000.00|  237700.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        510.700|         473.400|         475.400|   -70600.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      3|        510.700|         473.400|         475.400|  -105900.00|    6000.00|  142620.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        511.800|         473.400|         475.400|   -72800.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.900|         473.400|         475.400|   -36500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.900|         473.400|         475.400|   -36500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.900|         473.400|         475.400|   -36500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.800|         473.400|         475.400|   -36400.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        511.800|         473.400|         475.400|   -72800.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.800|         473.400|         475.400|   -36400.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.800|         473.400|         475.400|   -36400.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        511.600|         473.400|         475.400|   -72400.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        511.700|         473.400|         475.400|   -72600.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        511.700|         473.400|         475.400|   -72600.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
