| 交易所 |       品种       |      合约      |开仓日期 |   投/保    |买/卖|持仓量 |    开仓价     |     昨结算     |     结算价     |  浮动盈亏  |  盯市盈亏 |  保证金   |       期权市值       |
|Exchange|     Product      |   Instrument   |Open Date|    S/H     | B/S |Positon|Pos. Open Price|   Prev. Sttl   |Settlement Price| Accum. P/L |  MTM P/L  |  Margin   | Market Value(Options)|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      5|        396.800|         403.800|         412.600|    79000.00|   44000.00|  247560.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.900|         403.800|         412.600|    15700.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      2|        396.900|         403.800|         412.600|    31400.00|   17600.00|   99024.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      2|        396.900|         403.800|         412.600|    31400.00|   17600.00|   99024.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      6|        396.800|         403.800|         412.600|    94800.00|   52800.00|  297072.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      2|        396.800|         403.800|         412.600|    31600.00|   17600.00|   99024.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      5|        396.800|         403.800|         412.600|    79000.00|   44000.00|  247560.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      2|        396.800|         403.800|         412.600|    31600.00|   17600.00|   99024.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      6|        396.800|         403.800|         412.600|    94800.00|   52800.00|  297072.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      3|        396.800|         403.800|         412.600|    47400.00|   26400.00|  148536.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |     10|        396.700|         403.800|         412.600|   159000.00|   88000.00|  495120.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.700|         403.800|         412.600|    15900.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.800|         403.800|         412.600|    15800.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      6|        396.800|         403.800|         412.600|    94800.00|   52800.00|  297072.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.700|         403.800|         412.600|    15900.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      2|        396.700|         403.800|         412.600|    31800.00|   17600.00|   99024.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.700|         403.800|         412.600|    15900.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      2|        396.700|         403.800|         412.600|    31800.00|   17600.00|   99024.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.700|         403.800|         412.600|    15900.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.700|         403.800|         412.600|    15900.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.700|         403.800|         412.600|    15900.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.700|         403.800|         412.600|    15900.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      6|        396.800|         403.800|         412.600|    94800.00|   52800.00|  297072.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      4|        396.800|         403.800|         412.600|    63200.00|   35200.00|  198048.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      4|        396.800|         403.800|         412.600|    63200.00|   35200.00|  198048.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      6|        396.800|         403.800|         412.600|    94800.00|   52800.00|  297072.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |     10|        396.300|         403.800|         412.600|   163000.00|   88000.00|  495120.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.300|         403.800|         412.600|    16300.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      1|        396.300|         403.800|         412.600|    16300.00|    8800.00|   49512.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      5|        396.300|         403.800|         412.600|    81500.00|   44000.00|  247560.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      3|        396.300|         403.800|         412.600|    48900.00|   26400.00|  148536.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210426| 套保       |买   |      7|        396.300|         403.800|         412.600|   114100.00|   61600.00|  346584.00|                  0.00|
